ID,Has Duplicate,dup_of,Title,Title (Original Script),Author,Author (Original Script),Format,Language,Published/Created,Date,Description,Series,Library,Location,Call Number,Notes,Edition
'99125411062906421',FALSE,,"North Carolina : land of water, land of sky",,"Simpson, Bland",,Book,English,Chapel Hill: The University of North Carolina Press,2021,"ix, 225 pages : color illustrations ; 28 cm",,Firestone Library,Stacks,F260 .S46 2021,,
'9916086183506421',FALSE,,Our poets of today,,"Cook, Howard W. (Howard Willard), 1890-",,Book,English,"New York: Moffat, Yard & Company",1918,218 pages ; 20 cm.,Modern American writers.,ReCAP,Remote Storage,PS324 .C665 1918,,
'9939318633506421',TRUE,'SCSB-12406642',Paging New Jersey : a literary guide to the Garden State,,"Broderick, James F., 1963-",,Book,English,"New Brunswick, N.J.: Rutgers University Press",2003,"vi, 217 pages : illustrations ; 24 cm",,Firestone Library,Stacks,PS253.N5 B76 2003,,
'SCSB-12406642',TRUE,'9939318633506421',Paging New Jersey : a literary guide to the Garden State,,"Broderick, James F., 1963-",,Book,English,"New Brunswick, N.J.: Rutgers University Press",2003,"vi, 217 p. : ill. ; 24 cm.",,ReCAP,Remote Storage,PS253.N5 B76 2003,,
'99125345928706421',FALSE,,Paging New Jersey a literary guide to the Garden State,,"Broderick, James F., 1963-",,Book,English,"New Brunswick, N.J.: Rutgers University Press",2003,1 online resource (229 p.),,,,,Bibliographic Level Mode of Issuance: Monograph,
'99125234836606421',FALSE,,Pipefuls,,"Morley, Christopher",,Book,English,Dinslaken: anboco,2016,1 online resource (142 p.),,,,,Description based upon print version of record.,
'9924389203506421',FALSE,,Pipefuls,,"Morley, Christopher, 1890-1957",,Book,English,"Garden City, New York: Doubleday, Page & Company",1920,"x, 274 p., 1 . illus. 20 cm.",,Special Collections,Rare Books,3866.5.372.1920,,
'SCSB-11516067',TRUE,'9915352713506421',Poems of the great war,,"Cunliffe, John William, 1865-1946",,Book,English,New York: The Macmillan Company,1916,"xx p., 1 l., 297 p. ; 20 cm.",,ReCAP,Remote Storage,11425.71; KD 46618,,
'9915352713506421',TRUE,'SCSB-11516067',Poems of the great war,,,,Book,English,New York: Macmillan,1916,"xx, 297 pages ; 20 cm",,Firestone Library,Stacks,D526.2 .C8 1916,,
'9982759983506421',FALSE,,Questionable practices,,"Gunn, Eileen, 1945-",,Book,English,"Easthampton, Mass: Small Beer Press",2014,276 pages ; 21 cm,,Firestone Library,Stacks,PS3607.U5477 A6 2014,,First edition.
'9938417073506421',TRUE,'SCSB-4334685',Random symmetries : the collected poems of Tom Andrews,,"Andrews, Tom, 1961-2001",,Book,English,"Oberlin, OH: Oberlin College Press",2002,"vii, 265 pages ; 23 cm.",Field poetry series ; v. 13.; Field poetry series ; 13,Firestone Library,Stacks,PS3551.N4537 R3 2002,,
'SCSB-4334685',TRUE,'9938417073506421',Random symmetries : the collected poems of Tom Andrews,,"Andrews, Tom, 1961-2001",,Book,English,"Oberlin, OH: Oberlin College Press",2002,"vii, 265 pages ; 23 cm.",Field poetry series.,ReCAP,Remote Storage,PS3551.N4537 R3 2002g,,
'9922749673506421',FALSE,,"Return to tradition, a directive anthology",,"Thornton, Francis Beauchesne, 1898-1963",,Book,English,Milwaukee: Bruce Pub. Co.,1948,"xxix, 926 pages 26 cm",,ReCAP,Remote Storage,3009.902,,
'SCSB-7733270',FALSE,,Royal banners fly,,"Kuhn, Anna, 1900-",,Book,English,Milwaukee: The Bruce Publishing Company,1941,"176 p. incl. 1 illus., ports. 21 cm.",,ReCAP,Remote Storage,"A (Kuhn, A. Royal banners fly)",,
'SCSB-4296978',FALSE,,Satchmo in style,,"Armstrong, Louis, 1901-1971",,Audio,English,New York: Decca,1958,"1 audio disc : analog, 33 1/3 rpm, mono ; 12 in.",,ReCAP,Remote Storage,L5498,"Jazz trumpet with choral and instrumental ensemble.; ""Sample copy - not for sale.""; Program notes by Burt Korall on container.",
'9922721573506421',FALSE,,"Scepticisms, notes on contemporary poetry",,"Aiken, Conrad, 1889-1973",,Book,English,New York: A.A. Knopf,1919,"3 p. ., 305, [1] p. 20 cm.",,Special Collections,Rare Books,PN1271 .A4,Reprinted in part from various periodicals.,
'99125355832906421',TRUE,'9992637283506421',"Sound wormy : memoir of Andrew Gennett, Lumberman",,"Gennett, Andrew",,Book,English,Athens [Georgia]: University of Georgia Press; ©2002,2002,"1 online resource e (xix, 218 pages, 16 unnumbered pages of plates) : illustrations",,,,,Includes index.,
'9992637283506421',TRUE,'99125355832906421',"Sound wormy : memoir of Andrew Gennett, Lumberman",,"Gennett, Andrew",,Book,English,Athens: University of Georgia Press,2002,"1 online resource (xix, 218 pages, 16 unnumbered pages of plates) : illustrations.",,,,,,
'99125448516306421',FALSE,,Summer of Love,,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2020,,,,,,,
'SCSB-2451472',TRUE,'9925628783506421',Summer of love,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Baker & Taylor,1911,92 pages ; 20 cm,,ReCAP,Remote Storage,812K558 L,"First ed., advance copy.; Partly reprinted from various periodicals.; Rare Book copy: On spine: Doubleday Page & Co.",
'SCSB-8174821',TRUE,'9925628783506421',Summer of love,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"6p.ℓ.,92p. 20cm.",,ReCAP,Remote Storage,"NBI (Kilmer, J. Summer of love)",Partly reprinted from various periodicals.,
'9925628783506421',TRUE,'SCSB-2451472',Summer of love / by Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"[6], 92 p. ; 20 cm.",,ReCAP,Remote Storage,3812.42.388,Poems.; Partly reprinted from various periodicals.,
'9937474283506421',TRUE,'9925628783506421',Summer of love / by Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"[6], 92 p. ; 20 cm.",,Special Collections,Rare Books,Behrman American : Kilmer no. 1,"Poems.; Partly reprinted from various periodicals.; Behrman copy b: Binding: original gray-blue cloth, lettered in gilt. Second binding? Has imprint of Doubleday Page & Co. at the foot of the spine.",
'9937474213506421',TRUE,'9925628783506421',Summer of love / by Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"[6], 92 p. ; 20 cm.",,Special Collections,Rare Books,Behrman American no. 128a; Behrman American no. 128b,"Poems.; Partly reprinted from various periodicals.; Princeton copy 1: Binding: reddish-brown cloth, blank spine; cover label. Top edges trimmed; others uncut and unopened. Perhaps a trial binding; cf. Behrman.; Princeton copy 2: Binding: original gray-blue cloth, lettered in gilt; in slipcase. First issue with imprint of Baker & Taylor at the foot of the spine; cf. Behrman.; Princeton copy 2: Presentation copy to Percy Mack from the author.",
'99125282270506421',FALSE,,Summer Of Love By Joyce Kilmer,,"Kilmer, Joyce",,Book,English,New York: The Baker & Taylor Company,1911,1 online resource,,,,,Preliminaries and introductory matter omitted; verse reproduced elsewhere in American Poetry omitted.,
'99114349313506421',FALSE,,The Catholic world,,,,Journal,English,"New York, N.Y.: Lawrence Kehoe",1865,"1 online resource (volumes) : illustrations, plates ;; Vol. 1, no. 1 (Apr. 1865)-v. 214, no. 1281 (Dec. 1971).",American Historical Periodicals from the American Antiquarian Society.,,,,"Reproduction of the original from the American Antiquarian Society.; The Catholic World: A Monthly Magazine of General Literature and Science was begun in April of 1865 as a general magazine for Catholics by Father Isaac T. Hecker, founder of the Community of Paulist Fathers and of the Catholic Publication Society. At first, it contained mostly selected articles from English and Italian periodicals with brief departments of science, art and books and few original articles. The contribution of original articles increased so greatly that the magazine soon became completely original and the word Eclectic was dropped from its title.; (cont.) The editorial and literary aspects of the magazine were of high quality. Journalist J. R. G. Hassard was a member of the editorial staff, and Father A. F. Hewit was the most frequent contributor of the many Church dignitaries whose work regularly appeared in its pages. One of the magazine's continuous strengths was its high literary quality. Among the distinguished writers who regularly contributed were Agnes Repplier, Louise Imogen Guiney, Alice Meynell, Katharine Tynan, John Gilmary Shea, Aubrey DeVere, Rose H. Lathrop, Joyce Kilmer, Hilaire Belloc, G. K. Chesterton, Padraic Colum, and Theodore Maynard. Though it has been a popular rather than a theological magazine, Catholic World has dealt with educational, social, literary and artistic matters from a Catholic point of view and has supported Church doctrines. Cf. American periodicals, 1741-1900.; Title from caption.; Editors: 1865-1888, I.T. Hecker; 1889-1897, A.F. Hewit.",
'9925544263506421',TRUE,'SCSB-8194191',The circus : and other essays,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Laurence J. Gomme,1916,79 p. 18 cm.,,Special Collections,Rare Books,3812.42.325,Reprinted from various periodicals.,
'SCSB-8194191',TRUE,'9925544263506421',"The circus, and other essays",,"Kilmer, Joyce, 1886-1918",,Book,English,New York: L. J. Gomme,1916,79 p. 18 cm.,,ReCAP,Remote Storage,"NBQ (Kilmer, J. Circus)",Reprinted from various periodicals.,
'99125144091806421',FALSE,,"The Circus, and Other Essays and Fugitive Pieces",,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2012,,,,,,,
'999970313506421',FALSE,,"The circus, and other essays and fugitive pieces",,"Kilmer, Joyce, 1886-1918",,Book,English,"Port Washington, N.Y.: Kennikat Press",1968,311 pages 18 cm.,Essay and general literature index reprint series,ReCAP,Remote Storage,PS3521.I38 C5 1968,,
'SCSB-3408584',FALSE,,The courage of enlightenment,,"Kilmer, Joyce, 1886-1918",,Book,English,"Prairie du Chien, Wis.?",1917,14 pages ; 19 cm,,ReCAP,Remote Storage,812K558 P,Address delivered to the graduating class of Champion College.,
'99754543506421',FALSE,,The geography of the imagination : forty essays,,"Davenport, Guy",,Book,English,San Francisco: North Point Press,1981,"x, 384 p. ; 24 cm.",,Special Collections; Firestone Library,Leonard Milberg Coll. of American Poetry; Stacks,PS3554.A86 G4 1981,Princeton copy 1 ExRML copy is gift of Leonard L. Milberg '53 in honor of Richard M. Ludwig.,
'9945458963506421',FALSE,,The Gold Star Mother pilgrimages of the 1930s : overseas grave visitations by mothers and widows of fallen U.S. World War I soldiers,,"Graham, John W., 1961-",,Book,English,"Jefferson, N.C.: McFarland & Co.",2005,"ix, 229 pages : illustrations ; 23 cm",,Firestone Library,Stacks,D639.W7 G55 2005,,
'9913828793506421',FALSE,,The little book of modern verse : a selection from the work of contemporaneous American poets,,,,Book,English,And New York: Houghton Mifflin Co.,1913,"xvi, 211 pages 17 cm.",Riverside college classics,ReCAP,Remote Storage,PS614 .R5 1913,,
'9913221093506421',FALSE,,The mayor of Casterbridge,,"Hardy, Thomas, 1840-1928",,Book,English,New York: Modern Library,1917,"xiv, 318 pages frontispiece (map) 17 cm.",Modern library of the world's best books; The modern library of the world's best books,Firestone Library,Stacks,PR4750 .M39 1917,,
'9956122753506421',FALSE,,The new poetry : an anthology,,"Monroe, Harriet, 1860-1936",,Book,English,New York: The Macmillan Company,1919,"xxxi, 404 pages ; 20 cm",,ReCAP,Remote Storage,PR1225 .M6 1919,"Reprint of the first edition, New York, 1917.; Bound as issued.; Includes 5 p. of advertisements at end.",
'9913636433506421',FALSE,,The new poetry : an anthology of twentieth-century verse in English,,,,Book,English,New York: The Macmillan Company,1932,"lii pages, 1 leaf, 775 pages 23 cm",,Firestone Library,Stacks; Scribner Library,PR1225 .M6 1932,,"New ed., rev. and enl. by H.M., with biographical and critical notes."
'SCSB-11413497',FALSE,,The second book of modern verse : a selection from the work of contemporaneous American poets,,"Rittenhouse, Jessie B. (Jessie Belle), 1869-1948",,Book,English,New York [etc.]: Houghton Mifflin Company,1920,"1 p. l., [v]-xvi, [3]-240, [3] p. ; 18 cm.",Riverside literature series; Riverside college classics,ReCAP,Remote Storage,AL 419.19.3,,
'9913821153506421',FALSE,,The Smart Set anthology of world famous authors,,,,Book,English,New York: Halcyon House,1934,"xlviii, 844 pages ; 23 cm",,ReCAP,Remote Storage,PS221 .S637 1934,Includes index.,
'99125199098306421',FALSE,,Tree a life story,,"Suzuki, David, 1936-",,Book,English,Vancouver [B.C.]: Greystone Books,2007,1 online resource (201 p.),,,,,Co-published by the David Suzuki Foundation.,1st paperback ed.
'99125263987906421',FALSE,,Trees & Other Poems,,"Kilmer, Joyce",,Book,English,Project Gutenberg ; NetLibrary,2000,,,,,,,
'SCSB-6463534',TRUE,'SCSB-8174844',Trees & other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,"Garden City, N.Y.: Doubleday",1914,75 p. 20 cm.,,ReCAP,Remote Storage,ReCAP .b171897377,,
'99125325934906421',FALSE,,Trees and Other Poems,,"Kilmer, Joyce",,Book,English,S.l.: Pub One Info,,1 online resource (1 v.),,,,,,
'SCSB-8174844',TRUE,'SCSB-6463534',Trees and other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,"Garden City, N.Y.: Doubleday & Company, Inc",1914,75 p. ; 21 cm.,,ReCAP,Remote Storage,"NBI (Kilmer, J. Trees and other poems)",Reprinted from various periodicals.,
'9937474423506421',TRUE,'9937474493506421',Trees and other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran Company,1914,75 p. ; 21 cm.,,Special Collections,Rare Books,Behrman American no. 129Q,Reprinted from various periodicals.; First state of the first ed. Cf. Behrman.; Binding: tan-gray laid paper boards with paper labels; top edges gilt; original dust jacket; in slipcase.,
'9937474323506421',FALSE,,Trees and other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran Company,1914,"[6], 9-65 leaves ; 20-25 cm.",,Special Collections,Rare Books,Behrman American no. 129a,Reprinted from various periodicals.; Original proof sheets. Cf. Behrman.,
'9937474493506421',TRUE,'9937474423506421',Trees and other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran Company,1914,75 p. ; 21 cm.,,Special Collections,Rare Books,Behrman American : Kilmer no. 2,Reprinted from various periodicals.; First state of the first ed. Cf. Behrman.; Binding: tan-gray laid paper boards with paper labels; top edges gilt; dust jacket wanting.,
'9913467743506421',TRUE,'9937474423506421',Trees and other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran Company,1914,75 p. ; 21 cm.,,Special Collections; ReCAP,Rare Books; Remote Storage,3812.42.391,Reprinted from various periodicals.,
'99125448317806421',FALSE,,Verses,,"Belloc, Hilaire 1870-1953",,Book,English,Project Gutenberg,2019,,,,,,,
'SCSB-8207201',TRUE,'9924399243506421',Verses,,"Belloc, Hilaire, 1870-1953",,Book,English,New York: L. J. Gomme,1916,"xxvii, 91 p. 20 cm.",,ReCAP,Remote Storage,"NCM (Belloc, H. Verses)",,
'9924399243506421',TRUE,'SCSB-8207201',Verses,,"Belloc, Hilaire, 1870-1953",,Book,English,New York: Laurence J. Gomme,1916,"xxvii, 91 p. 20 cm.",,Special Collections,Rare Books,3625.55.1916,,